epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES
0,50434.7282047,0.0,0.576,0.516,0.564,0.552,1000
1,436.4652551,0.24,0.318,0.496,0.55,0.318,1000
2,372.7183752,0.24571,0.316,0.496,0.552,0.314,1000
3,346.3304258,0.26286,0.324,0.504,0.55,0.316,1000
4,333.5465224,0.27429,0.324,0.516,0.548,0.322,1000
5,326.4046872,0.26286,0.322,0.508,0.548,0.314,1000
6,320.2805262,0.25143,0.328,0.518,0.548,0.318,1000
7,316.7738167,0.26857,0.328,0.528,0.55,0.32,1000
8,314.4578681,0.27429,0.326,0.526,0.55,0.322,1000
9,311.4959879,0.26286,0.324,0.526,0.548,0.316,1000
10,310.4469335,0.27429,0.328,0.524,0.548,0.322,1000
11,308.1862398,0.27429,0.33,0.53,0.55,0.32,1000
12,307.6905663,0.25714,0.326,0.532,0.55,0.312,1000
13,307.1450089,0.27429,0.322,0.534,0.548,0.314,1000
14,306.4376016,0.26857,0.326,0.536,0.55,0.324,1000
15,304.7297236,0.26286,0.326,0.52,0.548,0.32,1000
16,303.5616051,0.25714,0.328,0.532,0.548,0.316,1000
17,303.2884338,0.25143,0.324,0.526,0.548,0.318,1000
18,301.7376577,0.25714,0.322,0.53,0.548,0.314,1000
19,300.3410332,0.26286,0.332,0.528,0.548,0.316,1000
20,299.279138,0.27429,0.324,0.526,0.55,0.32,1000
21,298.0447863,0.29143,0.33,0.532,0.55,0.32,1000
22,298.7351126,0.27429,0.326,0.536,0.548,0.318,1000
23,294.5912485,0.26857,0.324,0.53,0.548,0.316,1000
24,291.6535182,0.27429,0.326,0.536,0.55,0.318,1000
25,289.0315204,0.26857,0.33,0.544,0.548,0.322,1000
26,287.29341,0.26857,0.33,0.544,0.55,0.32,1000
27,284.8572273,0.28,0.33,0.54,0.548,0.318,1000
28,282.8815456,0.28,0.328,0.538,0.548,0.318,1000
29,281.008928,0.26857,0.328,0.542,0.548,0.32,1000
30,279.0954767,0.28,0.328,0.546,0.548,0.32,1000
31,277.2931479,0.28571,0.332,0.542,0.548,0.322,1000
32,276.2764143,0.28571,0.328,0.544,0.55,0.32,1000
33,274.5676467,0.26857,0.328,0.546,0.55,0.318,1000
34,273.3571854,0.27429,0.33,0.548,0.55,0.32,1000
35,271.951409,0.28571,0.332,0.552,0.55,0.324,1000
36,271.1794509,0.28,0.332,0.552,0.55,0.32,1000
37,269.5298206,0.28571,0.334,0.556,0.55,0.328,1000
38,268.3439715,0.28571,0.334,0.554,0.55,0.322,1000
39,267.1952652,0.28,0.33,0.558,0.548,0.322,1000
40,266.0476493,0.27429,0.334,0.556,0.548,0.324,1000
41,264.7776498,0.27429,0.33,0.56,0.548,0.324,1000
42,263.8519732,0.27429,0.332,0.556,0.548,0.322,1000
43,262.619256,0.27429,0.332,0.56,0.548,0.328,1000
44,261.7477909,0.28,0.338,0.558,0.55,0.33,1000
45,260.7044928,0.28,0.33,0.554,0.55,0.322,1000
46,259.5919634,0.28,0.334,0.552,0.55,0.328,1000
47,258.8282424,0.28,0.336,0.556,0.55,0.324,1000
48,257.4516733,0.28,0.328,0.556,0.55,0.328,1000
49,256.7706914,0.28,0.332,0.554,0.55,0.326,1000
50,255.9074582,0.28,0.336,0.558,0.55,0.328,1000
