epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,0.53,0.51,0.514,0.558,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3159.2009544,0.06286,2.548,8e-05,4.8,0.368,0.486,0.508,0.37,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-3159.2009544_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2209.4135801,0.06286,2.61,8e-05,4.8,0.36,0.492,0.514,0.362,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-2209.4135801_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1872.6035354,0.06286,2.643,8e-05,4.7,0.352,0.486,0.51,0.352,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1872.6035354_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1723.3925586,0.06286,2.672,8e-05,4.7,0.356,0.492,0.512,0.352,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1723.3925586_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1600.1840639,0.05714,2.698,8e-05,4.6,0.35,0.498,0.508,0.352,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1600.1840639_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1516.2492383,0.06286,2.715,8e-05,4.6,0.35,0.494,0.51,0.352,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1516.2492383_acc-0.06286_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1436.3544103,0.01714,2.73,8e-05,4.6,0.352,0.498,0.508,0.348,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1436.3544103_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1395.2909662,0.05714,2.747,8e-05,4.6,0.348,0.498,0.508,0.35,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1395.2909662_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1319.3464784,0.06286,2.762,8e-05,4.6,0.352,0.496,0.506,0.352,1000,model/partialdp/20210419/064057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-5e-05_dl-8e-05.pt_ppl-1319.3464784_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
